,llave_dmgrfc,fk_municipio,fk_indicador,fk_fecha,valor_dmgrfc
545,545,15761.0,8,2018-01-12,91.0
546,546,15762.0,8,2018-01-12,98.0
547,547,15774.0,8,2018-01-12,82.0
548,548,15808.0,8,2018-01-12,93.0
549,549,15832.0,8,2018-01-12,61.0
550,550,15839.0,8,2018-01-12,64.0
551,551,15879.0,8,2018-01-12,91.0
552,552,15022.0,8,2018-01-12,61.0
553,553,15090.0,8,2018-01-12,41.0
554,554,15092.0,8,2018-01-12,41.0
555,555,15106.0,8,2018-01-12,71.0
556,556,15114.0,8,2018-01-12,32.0
557,557,15131.0,8,2018-01-12,100.0
558,558,15135.0,8,2018-01-12,85.0
559,559,15162.0,8,2018-01-12,100.0
560,560,15172.0,8,2018-01-12,92.0
561,561,15187.0,8,2018-01-12,85.0
562,562,15215.0,8,2018-01-12,82.0
563,563,15218.0,8,2018-01-12,88.0
564,564,15226.0,8,2018-01-12,42.0
565,565,15236.0,8,2018-01-12,94.0
566,566,15248.0,8,2018-01-12,87.0
567,567,44420.0,8,2018-01-12,95.0
568,568,50245.0,8,2018-01-12,55.0
569,569,50686.0,8,2018-01-12,40.0
570,570,85015.0,8,2018-01-12,77.0
571,571,85136.0,8,2018-01-12,49.0
572,572,85279.0,8,2018-01-12,59.0
573,573,85315.0,8,2018-01-12,70.0
574,574,97666.0,8,2018-01-12,40.0
575,575,97161.0,8,2018-01-12,71.0
576,576,27745.0,8,2018-01-12,92.0
577,577,25086.0,8,2018-01-12,59.0
578,578,25095.0,8,2018-01-12,71.0
579,579,25299.0,8,2018-01-12,75.0
580,580,25324.0,8,2018-01-12,95.0
581,581,25368.0,8,2018-01-12,76.0
582,582,25483.0,8,2018-01-12,82.0
583,583,25580.0,8,2018-01-12,92.0
584,584,25807.0,8,2018-01-12,92.0
585,585,25871.0,8,2018-01-12,50.0
586,586,5501.0,8,2018-01-12,95.0
587,587,5004.0,8,2018-01-12,83.0
588,588,68013.0,9,2018-01-12,66.0
589,589,68121.0,9,2018-01-12,79.0
590,590,68132.0,9,2018-01-12,70.0
591,591,68160.0,9,2018-01-12,66.0
592,592,68176.0,9,2018-01-12,99.0
593,593,68245.0,9,2018-01-12,90.0
594,594,68264.0,9,2018-01-12,84.0
595,595,68296.0,9,2018-01-12,80.0
596,596,68322.0,9,2018-01-12,91.0
597,597,68344.0,9,2018-01-12,91.0
598,598,68370.0,9,2018-01-12,41.0
599,599,68425.0,9,2018-01-12,60.0
600,600,68522.0,9,2018-01-12,47.0
