,llave_salubridad,fk_municipio,fk_indicador,fk_fecha,valor_salubridad
547,547,25653.0,262,2018-01-12,92.7
548,548,25658.0,262,2018-01-12,97.37
549,549,25662.0,262,2018-01-12,99.18
550,550,25718.0,262,2018-01-12,98.82
551,551,25736.0,262,2018-01-12,98.41
552,552,25740.0,262,2018-01-12,99.65
553,553,25743.0,262,2018-01-12,98.38
554,554,25745.0,262,2018-01-12,98.7
555,555,25754.0,262,2018-01-12,99.48
556,556,25758.0,262,2018-01-12,99.65
557,557,25769.0,262,2018-01-12,99.71
558,558,25772.0,262,2018-01-12,97.89
559,559,25777.0,262,2018-01-12,95.23
560,560,25779.0,262,2018-01-12,98.46
561,561,25781.0,262,2018-01-12,98.78
562,562,25785.0,262,2018-01-12,99.07
563,563,25793.0,262,2018-01-12,98.87
564,564,25797.0,262,2018-01-12,99.39
565,565,25799.0,262,2018-01-12,99.46
566,566,25805.0,262,2018-01-12,96.12
567,567,25807.0,262,2018-01-12,92.92
568,568,25815.0,262,2018-01-12,98.42
569,569,25817.0,262,2018-01-12,99.67
570,570,25823.0,262,2018-01-12,85.46
571,571,25839.0,262,2018-01-12,94.42
572,572,25841.0,262,2018-01-12,96.33
573,573,25843.0,262,2018-01-12,98.91
574,574,25845.0,262,2018-01-12,98.47
575,575,25851.0,262,2018-01-12,98.11
576,576,25862.0,262,2018-01-12,96.2
577,577,25867.0,262,2018-01-12,98.59
578,578,25871.0,262,2018-01-12,85.19
579,579,25873.0,262,2018-01-12,97.05
580,580,25875.0,262,2018-01-12,97.85
581,581,25878.0,262,2018-01-12,98.21
582,582,25885.0,262,2018-01-12,81.21
583,583,25898.0,262,2018-01-12,98.5
584,584,25899.0,262,2018-01-12,98.58
585,585,27000.0,262,2018-01-12,63.25
586,586,27001.0,262,2018-01-12,87.52
587,587,27006.0,262,2018-01-12,37.32
588,588,27025.0,262,2018-01-12,48.61
589,589,27050.0,262,2018-01-12,93.76
590,590,27073.0,262,2018-01-12,32.63
591,591,27075.0,262,2018-01-12,96.5
592,592,27077.0,262,2018-01-12,71.85
593,593,27099.0,262,2018-01-12,44.51
594,594,27135.0,262,2018-01-12,90.43
595,595,27150.0,262,2018-01-12,52.75
596,596,27160.0,262,2018-01-12,8.82
597,597,27205.0,262,2018-01-12,85.41
598,598,27245.0,262,2018-01-12,83.27
599,599,27250.0,262,2018-01-12,55.78
600,600,27361.0,262,2018-01-12,74.99
601,601,27372.0,262,2018-01-12,72.97
602,602,27413.0,262,2018-01-12,73.56
603,603,27425.0,262,2018-01-12,38.09
604,604,27430.0,262,2018-01-12,76.75
605,605,27450.0,262,2018-01-12,78.84
606,606,27491.0,262,2018-01-12,68.9
607,607,27495.0,262,2018-01-12,86.25
608,608,27580.0,262,2018-01-12,66.21
609,609,27600.0,262,2018-01-12,83.68
610,610,27615.0,262,2018-01-12,62.26
611,611,27660.0,262,2018-01-12,51.76
612,612,27745.0,262,2018-01-12,50.9
613,613,27787.0,262,2018-01-12,71.18
614,614,27800.0,262,2018-01-12,10.41
615,615,27810.0,262,2018-01-12,86.95
616,616,41000.0,262,2018-01-12,91.03
617,617,41001.0,262,2018-01-12,89.34
618,618,41006.0,262,2018-01-12,88.11
